ID,movie_title,class,year,runtime,rating,meta
tt0167261,The Lord of the Rings: The Two Towers,PG-13,2002.0,179.0,8.7,87.0
tt6320628,Spider-Man: Far from Home,PG-13,2019.0,129.0,7.5,69.0
tt2488496,Star Wars: Episode VII - The Force Awakens,PG-13,2015.0,138.0,7.9,80.0
tt0770828,Man of Steel,PG-13,2013.0,143.0,7.0,55.0
tt0082971,Raiders of the Lost Ark,PG,1981.0,115.0,8.4,85.0
tt7134096,The Rhythm Section,R,2020.0,109.0,5.3,45.0
tt0113189,GoldenEye,PG-13,1995.0,130.0,7.2,65.0
tt0088247,The Terminator,R,1984.0,107.0,8.0,84.0
tt6048922,Greyhound,PG-13,2020.0,91.0,7.0,64.0
tt1074638,Skyfall,PG-13,2012.0,143.0,7.7,81.0
tt2527336,Star Wars: Episode VIII - The Last Jedi,PG-13,2017.0,152.0,7.0,84.0
tt1025100,Gemini Man,PG-13,2019.0,117.0,5.7,38.0
tt0437086,Alita: Battle Angel,PG-13,2019.0,122.0,7.3,53.0
tt0107290,Jurassic Park,PG-13,1993.0,127.0,8.1,68.0
tt0499549,Avatar,PG-13,2009.0,162.0,7.8,83.0
tt0104691,The Last of the Mohicans,R,1992.0,112.0,7.7,76.0
tt0092099,Top Gun,PG,1986.0,110.0,6.9,50.0
tt2250912,Spider-Man: Homecoming,PG-13,2017.0,133.0,7.4,73.0
tt4912910,Mission: Impossible - Fallout,PG-13,2018.0,147.0,7.7,86.0
tt4154664,Captain Marvel,PG-13,2019.0,123.0,6.9,64.0
tt5033998,Charlie's Angels,PG-13,2019.0,118.0,4.8,52.0
tt0376994,X-Men: The Last Stand,PG-13,2006.0,104.0,6.7,58.0
tt0373889,Harry Potter and the Order of the Phoenix,PG-13,2007.0,138.0,7.5,71.0
tt0145487,Spider-Man,PG-13,2002.0,121.0,7.3,73.0
tt3315342,Logan,R,2017.0,137.0,8.1,77.0
tt1634106,Bloodshot,PG-13,2020.0,109.0,5.7,44.0
tt0434409,V for Vendetta,R,2005.0,132.0,8.2,62.0
tt1211837,Doctor Strange,PG-13,2016.0,115.0,7.5,72.0
tt0320661,Kingdom of Heaven,R,2005.0,144.0,7.2,63.0
tt6146586,John Wick: Chapter 3 - Parabellum,R,2019.0,130.0,7.4,73.0
tt0083658,Blade Runner,R,1982.0,117.0,8.1,84.0
tt0119116,The Fifth Element,PG-13,1997.0,126.0,7.7,52.0
tt0409182,Poseidon,PG-13,2006.0,98.0,5.7,50.0
tt0372784,Batman Begins,PG-13,2005.0,140.0,8.2,70.0
tt2379713,Spectre,PG-13,2015.0,148.0,6.8,60.0
tt0417741,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,7.6,78.0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003.0,143.0,8.0,63.0
tt0090605,Aliens,R,1986.0,137.0,8.3,84.0
tt2975590,Batman v Superman: Dawn of Justice,PG-13,2016.0,152.0,6.4,44.0
tt0448115,Shazam!,PG-13,2019.0,132.0,7.1,71.0
tt0416449,300,R,2006.0,117.0,7.6,52.0
tt7550000,Project Power,R,2020.0,113.0,6.0,51.0
tt6806448,Fast & Furious Presents: Hobbs & Shaw,PG-13,2019.0,137.0,6.4,60.0
tt0458339,Captain America: The First Avenger,PG-13,2011.0,124.0,6.9,66.0
tt3794354,Sonic the Hedgehog,PG,2020.0,99.0,6.5,47.0
tt0848228,The Avengers,PG-13,2012.0,143.0,8.0,69.0
tt1259528,Den of Thieves,R,2018.0,140.0,7.0,49.0
tt5177088,The Girl in the Spider's Web,R,2018.0,115.0,6.1,43.0
tt0099938,Kindergarten Cop,PG-13,1990.0,111.0,6.1,61.0
tt9695722,Vanguard,PG-13,2020.0,107.0,4.7,36.0
tt0371746,Iron Man,PG-13,2008.0,126.0,7.9,79.0
tt0106856,Falling Down,R,1993.0,113.0,7.6,56.0
tt1638355,The Man from U.N.C.L.E.,PG-13,2015.0,116.0,7.3,56.0
tt6218010,Iron Mask,PG-13,2019.0,120.0,4.7,32.0
tt3890160,Baby Driver,R,2017.0,113.0,7.6,86.0
tt4560436,Mile 22,R,2018.0,94.0,6.1,38.0
tt2802144,Kingsman: The Secret Service,R,2014.0,129.0,7.7,60.0
tt1560220,Zombieland: Double Tap,R,2019.0,99.0,6.7,55.0
tt0800369,Thor,PG-13,2011.0,115.0,7.0,57.0
tt0246460,Die Another Day,PG-13,2002.0,133.0,6.1,56.0
tt3498820,Captain America: Civil War,PG-13,2016.0,147.0,7.8,75.0
